Account info: TAG;Last inventory;Computer;User;Operating system;RAM (MB);CPU (MHz);
NA;2022-10-26 14:40:28;CT01-004422;roselaine.delgado;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 14:39:39;CT01-003863;geraldo.duarte;Microsoft Windows 10 Pro;16384;3192;
;2022-10-26 14:39:32;ABACATEIRO;yc.robertar;Microsoft Windows Server 2008 R2 Enterprise;20480;2400;
NA;2022-10-26 14:39:25;CT01-000805;rosangela.strogulski;Microsoft Windows 8.1 Pro;3550;3200;
NA;2022-10-26 14:39:22;CT01-004420;marilene.machado;Microsoft Windows 10 Pro;8192;3600;
;2022-10-26 14:39:01;CACTO;yc.thaynas;Microsoft Windows Server 2008 R2 Enterprise;20480;2400;
;2022-10-26 14:38:34;PMC10JV35;jocelito.cruz;Microsoft Windows 8.1 Pro;3009;3201;
NA;2022-10-26 14:38:14;CT01-003402;raquel.carniel;Microsoft Windows 10 Pro;8192;3408;
NA;2022-10-26 14:37:56;PAT-129371;aline.goncalves;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 14:37:50;CT01-003431;juliana.caletti;Microsoft Windows 10 Pro;8192;3408;
NA;2022-10-26 14:37:50;DESKTOP-B8DB5JN;karoline.brambatti;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 14:37:40;CT01-001394;andreia.deoliveira;Microsoft Windows 7 Professional;4096;2936;
NA;2022-10-26 14:37:38;PAT-129496;priscila.velasque;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 14:37:26;CT01-001270;dirson.machado;Microsoft Windows 7 Professional;4096;2901;
NA;2022-10-26 14:37:15;CT01-003969;etiane.ferraz;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 14:37:07;CT01-004488;dayana.urio;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 14:36:57;CT01-003731;graziele.amaral;Microsoft Windows 10 Pro;8192;3408;
NA;2022-10-26 14:36:50;CT01-003577;charles.flores;Microsoft Windows 10 Pro;8192;3408;
NA;2022-10-26 14:36:45;VBMSAPP17;valter.souza;Microsoft Windows Server 2008 R2 Enterprise;16384;2400;
NA;2022-10-26 14:36:40;CT01-004462;naiara.santos;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 14:36:35;CT01-003966;douglas.cygainski;Microsoft Windows 10 Pro;8192;3408;
NA;2022-10-26 14:36:04;CT01-003807;luis.bittencourt;Microsoft Windows 10 Pro;16384;3192;
NA;2022-10-26 14:35:18;CT01-003355;diana.pagliarini;Microsoft Windows 10 Pro;8192;3408;
CANOASPREV;2022-10-26 14:35:07;CT01-002486;SISTEMA;Microsoft Windows 7 Professional;2501;3000;
NA;2022-10-26 14:34:23;CT01-003356;maicon.silveira;Microsoft Windows 7 Professional;4096;3700;
;2022-10-26 14:33:54;CT01-001619;daurinei.alt;Microsoft Windows 7 Professional;1502;3200;
NA;2022-10-26 14:33:37;PAT-129461;ana.ms;Microsoft Windows 10 Pro;8192;3600;
;2022-10-26 14:32:21;PMC-000294;marcia.ferrer;Microsoft Windows 10 Pro;8192;2496;
NA;2022-10-26 14:31:29;CT01-003458;maria.medeiros;Microsoft Windows 10 Pro;8192;3408;
SMMA;2022-10-26 14:31:24;CT01-000412;raquel.ferreira;Microsoft Windows 10 Pro;8192;2496;
NA;2022-10-26 14:31:15;CT01-000374;everaldo.santos;Microsoft Windows 7 Professional;3317;2800;
NA;2022-10-26 14:30:43;CT01-004574;jorge.sjunior;Microsoft Windows 11 Pro;8192;3600;
NA;2022-10-26 14:30:42;CT01-000020;ulbra.trindade;Microsoft Windows 7 Professional;7062;2501;
;2022-10-26 14:30:41;PMC068526;neusa.dahlem;Microsoft Windows 7 Professional;3416;2893;
NA;2022-10-26 14:29:45;CT01-004193;ana.rodrigues;Microsoft Windows 8 Professional Edition;8060;3600;
NA;2022-10-26 14:29:20;CT01-003845;bruno.vogel;Microsoft Windows 10 Pro;6547;3000;
