Last inventory,Operating system,RAM (MB),CPU (MHz)
2022-08-12 10:58:22,Microsoft Windows 7 Professional,2941,2936
2019-04-08 14:41:00,Microsoft Windows 10 Pro,16384,3601
2021-07-22 08:32:50,Microsoft Windows 8.1 Pro,3507,3600
2019-07-24 09:47:27,Microsoft Windows 7 Professional,3453,2936
2022-10-27 11:06:28,Microsoft Windows 7 Professional,3550,3200
2019-04-02 17:05:22,Microsoft Windows 7 Professional,2048,2593
2022-10-27 15:26:58,Microsoft Windows Server 2008 R2 Enterprise,20480,2400
2021-04-27 12:19:28,Microsoft Windows 7 Professional,2048,2933
2022-10-20 22:10:11,Microsoft Windows Server 2008 R2 Standard,6144,2400
2022-10-27 13:01:14,Microsoft Windows 10 Pro,10647,3600
2022-04-27 11:13:13,Microsoft Windows 7 Professional,3507,3600
2021-07-23 14:45:00,Microsoft Windows XP Professional,1024,2194
2022-10-27 09:19:53,Microsoft Windows 7 Professional,4096,2936
2019-02-06 08:22:49,Microsoft Windows 7 Professional,1984,1800
2022-10-27 09:44:30,Microsoft Windows 10 Pro,8192,3600
2022-10-27 07:25:57,Microsoft Windows Server 2008 R2 Enterprise,8096,2400
2022-10-27 13:27:56,Microsoft Windows Server 2008 R2 Enterprise,6144,2399
2021-08-11 04:48:36,Microsoft Windows 7 Professional,3292,2933
2022-10-27 09:12:02,Microsoft Windows 7 Professional,2048,2933
2022-04-25 08:00:08,Microsoft Windows 7 Professional,3025,3600
2019-07-01 11:13:32,Microsoft Windows 7 Professional,8192,2661
2021-04-06 10:41:04,Microsoft Windows 8.1 Pro,3507,3600
2022-10-27 08:24:55,Microsoft Windows 10 Pro,8192,2496
2022-02-18 09:55:32,Microsoft Windows 7 Professional,4096,2936
2022-10-27 15:31:08,Microsoft Windows Server 2008 R2 Enterprise,20480,2400
2022-10-05 11:40:27,Microsoft Windows 7 Professional,3507,3600
2022-06-06 13:48:22,Microsoft Windows 10 Pro,3535,3600
2021-12-09 20:33:25,Microsoft Windows Server 2008 R2 Enterprise,4096,2400
2020-03-17 21:57:27,Microsoft Windows 7 Professional,2304,3192
2019-08-02 12:04:33,Microsoft Windows 8.1 Pro,6144,2401
2018-11-22 07:29:16,Microsoft Windows 7 Professional,4096,2936
2018-12-10 12:00:57,Microsoft Windows 7 Professional,4096,2936
2019-02-18 09:59:23,Microsoft Windows 7 Professional,4096,2936
2019-01-30 13:55:34,Microsoft Windows 7 Professional,2048,2926
2019-11-26 16:49:30,Microsoft Windows 7 Professional,2048,2926
2019-08-27 10:43:48,Microsoft Windows 7 Professional,2048,2926
2022-04-18 08:10:48,Microsoft Windows 7 Professional,4096,2936
2022-10-11 13:23:22,Microsoft Windows 7 Professional,2941,2936
2020-03-06 10:25:52,Microsoft Windows 7 Professional,2941,2936
2022-10-26 09:02:52,Microsoft Windows 7 Professional,2941,2936
2021-04-12 08:46:46,Microsoft Windows 7 Ultimate,4096,2936
2022-10-27 15:10:02,Microsoft Windows 7 Ultimate,4096,2936
2022-10-25 14:12:45,Microsoft Windows 7 Professional,2048,2800
2018-11-08 13:29:13,Microsoft Windows 7 Professional,4096,2793
2019-08-02 09:45:07,Microsoft Windows 10 Enterprise,3550,3200
2022-10-26 13:55:18,Microsoft Windows 10 Enterprise,4096,2133
2021-08-03 10:54:47,Microsoft Windows 7 Professional,1791,3100
2021-03-18 17:37:41,Microsoft Windows 7 Professional,1791,3100
2018-10-23 12:05:58,Microsoft Windows XP Professional,2048,2926
2022-10-26 15:06:08,Microsoft Windows 7 Professional,3072,2933
2022-10-25 13:10:12,Microsoft Windows 7 Professional,3072,2933
2022-05-05 11:11:59,Microsoft® Windows Vista™ Business,2048,2933
2022-05-13 07:58:24,Microsoft Windows 7 Professional,3584,2933
2022-10-25 11:59:13,Microsoft Windows 7 Professional,3584,2933
2022-10-27 12:26:03,Microsoft Windows 7 Professional,2048,2200
2022-10-27 09:02:30,Microsoft Windows 7 Professional,4096,2933
2022-10-26 08:25:18,Microsoft Windows 7 Professional,3072,2933
2022-10-27 14:25:40,Microsoft Windows 7 Professional,1790,3000
2022-07-01 09:07:12,Microsoft Windows 7 Professional,3072,2933
2022-10-27 10:02:50,Microsoft Windows 7 Professional,3072,2933
2022-05-04 15:15:47,Microsoft Windows 7 Professional,4096,2600
2022-10-27 08:09:41,Microsoft Windows 10 Pro,8192,3408
2022-10-27 13:26:56,Microsoft Windows 10 Pro,10647,3600
2022-10-26 15:27:20,Microsoft Windows Server 2008 R2 Enterprise,2048,2400
2018-10-19 02:55:37,Microsoft Windows XP Professional,1536,2194
2022-10-27 09:27:53,Microsoft Windows 7 Professional,2941,2936
2019-12-10 11:53:56,Microsoft Windows 7 Professional,2048,2133
2022-10-27 15:14:01,Microsoft Windows 10 Pro,8192,2904
2022-10-27 08:01:41,Microsoft Windows 10 Pro,8192,3408
2022-10-03 08:27:06,Microsoft Windows 7 Professional,3317,2933
2022-10-17 07:08:23,Microsoft Windows 8 Professional Edition,8121,3408
2018-10-08 09:36:02,Microsoft Windows 7 Professional,1791,1496
2019-11-07 09:20:34,Microsoft Windows 8.1 Pro,8192,3600
2022-10-26 16:29:11,Microsoft Windows 7 Professional,16384,3301
2022-07-01 08:14:42,Microsoft Windows 7 Professional,4096,2936
2022-10-25 08:10:37,Microsoft Windows 8.1 Pro,2994,3201
2020-09-22 14:31:33,Microsoft Windows 8.1 Pro,3550,3200
2022-10-27 11:44:35,Microsoft Windows 7 Professional,2048,2133
2022-06-10 08:34:15,Microsoft Windows 7 Professional,2048,2936
2020-12-10 14:19:34,Microsoft Windows 7 Professional,4096,2936
2022-10-27 14:39:59,Microsoft Windows 7 Professional,7062,2501
2022-10-27 11:34:02,Microsoft Windows 7 Professional,4096,2936
2020-10-21 10:28:01,Microsoft Windows 7 Professional,4096,2936
2022-04-05 10:48:28,Microsoft Windows 7 Professional,7070,2501
2022-10-27 08:28:57,Microsoft Windows 7 Professional,4096,2936
2022-10-27 08:03:44,Microsoft Windows 7 Professional,8192,3200
2022-10-27 09:18:17,Microsoft Windows 7 Professional,6551,2501
2022-10-27 15:11:45,Microsoft Windows 7 Professional,7072,2501
2019-03-22 16:37:38,Microsoft Windows 7 Professional,4096,2936
2020-11-24 17:34:57,Microsoft Windows 7 Professional,2941,2936
2022-02-11 00:21:09,Microsoft Windows 7 Professional,1024,2133
2022-10-27 08:13:28,Microsoft Windows 7 Professional,8192,3200
2020-10-26 15:43:06,Microsoft Windows 7 Ultimate,2941,2936
2022-10-27 07:58:03,Microsoft Windows 7 Professional,7072,2501
2022-08-24 08:23:56,Microsoft Windows 7 Professional,7072,2501
2022-10-27 07:49:43,Microsoft Windows 7 Professional,4096,2936
2022-10-27 12:42:41,Microsoft Windows 7 Professional,2464,2501
2022-10-27 08:31:15,Microsoft Windows 7 Professional,4096,2936
2022-10-27 08:07:18,Microsoft Windows 7 Professional,4096,2936
2019-12-10 10:09:53,Microsoft Windows 7 Professional,7070,2501
2022-10-27 13:53:17,Microsoft Windows 7 Professional,7072,2501
2022-10-27 08:01:45,Microsoft Windows 7 Professional,2974,2501
2022-10-27 15:13:24,Microsoft Windows 7 Professional,2048,2933
2021-01-28 10:45:44,Microsoft Windows 7 Professional,4096,2936
2021-07-01 08:48:20,Microsoft Windows 7 Professional,6144,2933
2019-07-18 10:19:13,Microsoft Windows 7 Professional,7090,3201
2022-10-21 15:59:54,Microsoft Windows 7 Professional,2941,2936
2022-10-27 07:45:23,Microsoft Windows 7 Professional,6562,2501
2022-03-28 14:25:16,Microsoft Windows 7 Professional Edition,2941,2926
2020-12-28 14:11:47,Microsoft Windows 7 Professional,7072,2501
2021-08-03 08:42:50,Microsoft Windows 7 Professional,2048,2133
2022-09-02 08:12:46,Microsoft Windows 7 Professional,6562,2501
2021-07-03 05:05:31,Microsoft Windows 7 Professional,7062,2501
2022-10-18 09:29:08,Microsoft Windows 7 Professional,7070,2501
2022-10-27 08:11:01,Microsoft Windows 7 Professional,4096,2936
2020-10-19 11:20:23,Microsoft Windows 7 Professional,4096,2936
2018-11-07 08:34:06,Microsoft Windows 7 Professional,4096,2936
2022-08-05 08:02:59,Microsoft Windows 7 Professional,16384,3301
2022-10-26 19:04:30,Microsoft Windows 7 Professional,16384,3301
2022-08-05 12:19:56,Microsoft Windows 7 Professional,3550,3200
2022-08-05 10:49:59,Microsoft Windows 7 Professional,7072,2501
2021-05-31 19:06:01,Microsoft Windows 7 Professional,2976,2501
2022-10-06 10:56:39,Microsoft Windows 7 Professional,2976,2501
2022-08-05 07:55:44,Microsoft Windows 7 Professional,7062,2501
2020-02-10 11:44:42,Microsoft Windows 7 Professional,7072,2501
2022-10-26 13:35:48,Microsoft Windows 7 Professional,2941,2936
2022-10-27 09:43:20,Microsoft Windows 7 Professional,3416,2893
2020-08-03 10:02:58,Microsoft Windows 7 Professional,4096,2936
2021-12-27 10:14:33,Microsoft Windows 7 Professional,4096,2936
2022-10-27 07:58:05,Microsoft Windows 7 Professional,1024,2133
2022-05-28 12:38:23,Microsoft Windows 7 Professional,7072,2501
2021-04-27 13:01:54,Microsoft Windows 8.1 Pro,8192,3200
2019-04-02 07:50:14,Microsoft Windows 7 Professional,4096,2936
2019-10-30 14:35:21,Microsoft Windows 7 Professional,7070,2501
2020-03-11 09:05:32,Microsoft Windows 7 Professional,6562,2501
2022-08-05 17:10:20,Microsoft Windows 7 Professional,16384,3301
2022-10-21 08:15:41,Microsoft Windows 7 Professional,2048,2133
2022-08-05 11:29:06,Microsoft Windows 7 Professional,16384,3301
2020-06-16 16:04:03,Microsoft Windows 7 Professional,7072,2501
2022-10-27 08:35:13,Microsoft Windows 7 Professional,16384,3301
2022-10-27 13:06:42,Microsoft Windows 7 Professional,3550,3200
2022-10-27 07:05:15,Microsoft Windows 7 Professional,6552,2501
2019-08-23 13:16:35,Microsoft Windows 7 Professional,7072,2501
2019-06-10 07:51:36,Microsoft Windows 7 Professional,2941,2936
2019-08-15 16:54:56,Microsoft Windows 7 Professional,3453,2936
2022-10-26 14:59:09,Microsoft Windows 7 Professional,2941,2936
2022-10-27 08:11:45,Microsoft Windows 7 Professional,4096,2936
2022-08-15 16:51:34,Microsoft Windows 7 Professional,4096,2901
2018-10-31 16:38:58,Microsoft Windows XP Professional,1536,2925
2021-04-16 11:57:15,Microsoft Windows XP Professional,2048,2926
2022-10-27 14:18:16,Microsoft Windows 7 Professional,7070,2501
2022-10-27 12:59:00,Microsoft Windows 7 Professional,4096,2901
2022-10-26 11:59:59,Microsoft Windows 7 Professional,7070,2501
2019-04-18 17:08:23,Microsoft Windows 7 Professional,7061,2501
2021-12-02 12:48:39,Microsoft Windows 8.1 Pro,8192,3200
2022-10-24 08:17:41,Microsoft Windows 8.1 Pro,4096,2133
2022-10-26 14:09:20,Microsoft Windows 7 Professional,1502,3200
2022-10-25 14:15:50,Microsoft Windows 7 Professional,2048,2933
2020-10-28 14:21:30,Microsoft Windows 7 Professional,6878,3200
2022-07-21 10:25:18,Microsoft Windows 7 Professional,2048,2133
2022-10-27 14:07:28,Microsoft Windows 7 Professional,7070,2501
2022-10-27 13:26:16,Microsoft Windows 7 Professional,7072,2501
2022-10-24 11:10:35,Microsoft Windows 7 Professional,6562,2501
2022-08-22 08:13:38,Microsoft Windows 7 Professional,2048,2933
2022-08-15 15:30:29,Microsoft Windows 7 Professional,16384,3301
2022-08-15 08:52:01,Microsoft Windows 7 Professional,6552,2501
2022-08-15 11:15:48,Microsoft Windows 7 Professional,7070,2501
2022-08-15 14:02:01,Microsoft Windows 7 Professional,6562,2501
2020-11-21 17:11:32,Microsoft Windows 7 Professional,2941,2936
2022-10-07 10:02:23,Microsoft Windows 7 Professional,4096,2936
2022-08-15 13:31:03,Microsoft Windows 7 Ultimate,7072,2501
2022-10-27 10:07:21,Microsoft Windows 7 Professional,7072,2501
2022-10-26 16:13:20,Microsoft Windows 7 Professional,3416,2901
2022-10-27 08:00:17,Microsoft Windows 7 Professional,7070,2494
2022-02-24 14:32:35,Microsoft Windows 7 Professional,3037,2936
2022-04-27 14:02:07,Microsoft Windows 7 Professional,1024,2133
2021-05-13 09:23:47,Microsoft Windows 7 Professional,512,1600
2022-10-27 10:02:32,Microsoft Windows 7 Professional,4096,2901
2022-06-08 14:20:36,Microsoft Windows 7 Professional,4096,2800
2018-11-30 11:42:00,Microsoft Windows 7 Professional,3524,3001
2022-10-27 07:55:54,Microsoft Windows 7 Professional,3550,3200
2022-07-21 12:16:31,Microsoft Windows 7 Professional,2048,2933
2021-09-28 07:59:26,Microsoft Windows 7 Professional,3453,2936
2022-02-03 17:43:52,Microsoft Windows 8.1 Pro,4096,1700
2022-10-21 11:26:36,Microsoft Windows 7 Professional,3416,2901
2019-10-04 14:27:22,Microsoft Windows 7 Professional,1024,2133
2022-10-06 16:14:01,Microsoft Windows 7 Professional,2048,2933
2021-12-17 08:56:44,Microsoft Windows 7 Professional,4096,2936
2022-10-27 07:55:21,Microsoft Windows 7 Professional,6560,2501
2022-06-02 15:07:00,Microsoft Windows 7 Professional,4096,2936
2019-07-19 16:03:36,Microsoft Windows 10 Pro,8192,2496
2022-08-12 08:47:58,Microsoft Windows 10 Pro,8192,2496
2022-06-01 08:51:05,Microsoft Windows 7 Professional,2048,1908
2021-01-08 13:37:01,Microsoft Windows 7 Professional,2048,3100
2022-09-26 09:18:54,Microsoft Windows 7 Professional,2048,3100
2018-10-25 14:44:15,Microsoft Windows 7 Professional,1536,1900
2020-02-19 07:36:31,Microsoft Windows 7 Ultimate,2048,3326
2019-07-03 10:09:29,Microsoft Windows 7 Professional,1502,3200
2019-03-07 11:44:33,Microsoft Windows XP Professional,2048,1808
2019-04-16 14:25:04,Microsoft Windows 7 Ultimate,1536,1900
2022-10-26 13:41:55,Microsoft Windows 7 Professional,2048,2133
2022-10-27 08:16:39,Microsoft Windows 7 Professional,3543,2933
2022-10-27 08:06:16,Microsoft Windows 7 Professional,16384,3301
2018-10-26 15:41:53,Microsoft Windows 7 Professional,3550,3200
2022-09-01 11:07:35,Microsoft Windows 7 Professional,2048,2133
2022-10-27 14:10:08,Microsoft Windows 7 Professional,4096,3400
2019-06-11 16:12:29,Microsoft Windows 7 Professional,2941,2936
2021-02-09 08:43:02,Microsoft Windows 10 Pro,2976,2494
2022-10-18 14:58:42,Microsoft Windows 7 Professional,2048,2933
2022-05-27 15:18:19,Microsoft Windows 7 Professional,2941,2936
2022-10-25 17:32:51,Microsoft Windows 7 Professional,4502,2501
2019-12-17 13:19:19,Microsoft Windows 7 Professional,3500,3400
2022-10-27 08:37:09,Microsoft Windows 7 Professional,2941,2936
2021-12-01 14:56:57,Microsoft® Windows Vista™ Business,2048,2327
2022-08-15 12:59:44,Microsoft® Windows Vista™ Business,2048,1795
2022-10-27 11:24:28,Microsoft Windows 8.1 Pro,4096,3400
2022-10-27 07:55:04,Microsoft Windows 7 Professional,7070,2501
2020-06-03 17:28:02,Microsoft Windows 8.1 Pro,4096,3400
2022-10-27 08:08:25,Microsoft Windows 7 Professional,4096,3400
2018-11-21 15:02:46,Microsoft Windows 7 Professional,3500,3400
2022-10-27 08:21:34,Microsoft Windows 7 Professional,8192,3200
2020-09-14 15:02:00,Microsoft Windows 7 Professional,4096,2936
2021-05-27 14:57:17,Microsoft Windows 7 Professional,1024,2133
2022-09-08 08:42:17,Microsoft Windows 7 Professional,3500,3400
2022-10-27 13:25:33,Microsoft Windows 7 Professional,4096,2901
2022-10-27 14:15:37,Microsoft Windows 8.1 Pro,8192,3200
2022-02-09 09:44:35,Microsoft Windows 7 Professional,4096,2936
2022-01-23 04:17:14,Microsoft Windows 7 Professional,7070,2501
2022-10-07 14:36:43,Microsoft Windows 7 Professional,2941,2936
2021-07-22 08:48:27,Microsoft Windows 7 Professional,4096,2936
2021-09-17 12:17:38,Microsoft Windows 7 Professional,4096,3400
2022-10-27 09:01:25,Microsoft Windows 7 Professional,4096,2936
2020-10-28 12:02:35,Microsoft Windows 8.1 Pro,3550,3200
2022-10-21 09:02:54,Microsoft Windows 7 Ultimate,3323,3326
2022-10-27 11:16:51,Microsoft Windows 7 Professional,1502,3200
2022-10-26 17:07:45,Microsoft Windows 7 Professional,3550,3200
2019-01-15 11:31:20,Microsoft Windows 7 Professional,2048,2133
2021-01-05 09:53:37,Microsoft Windows 7 Professional,3535,3400
2022-10-13 16:03:13,Microsoft Windows 7 Professional,2048,2933
2021-05-21 10:48:30,Microsoft Windows Vista Business Edition,2048,2793
2022-10-27 11:26:35,Microsoft Windows 7 Professional,4096,2936
2022-10-27 08:12:55,Microsoft Windows 7 Professional,7072,2501
2019-03-26 09:39:00,Microsoft Windows XP Professional,2048,2327
2021-03-08 09:28:43,Microsoft Windows 7 Professional,3037,2936
2022-10-27 13:36:37,Microsoft Windows 7 Professional,4096,2936
2022-10-26 12:41:02,Microsoft Windows 7 Professional,4096,2936
2020-08-20 17:15:19,Microsoft Windows 7 Professional,4096,2936
2022-08-03 08:02:09,Microsoft Windows 7 Professional,4096,2926
2022-08-15 10:22:16,Microsoft Windows 7 Professional,5120,2800
2022-10-27 12:11:12,Microsoft Windows 7 Professional,3550,3200
